generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
0,0.28599391450061,0.1528723484932462,0.38623384784572484,0.15,0.005656010700871166,0.023075960333253008
1,0.29490178884350227,0.24751226143085453,0.39862417276210377,0.15,0.001457760317967768,0.019905813750832283
2,0.29490178884350227,0.2724158678593659,0.39862417276210377,0.15,0.001457760317967768,0.019905813750832283
3,0.3127064669451759,0.2847384220795071,0.41156367228696916,0.175,3.928084742184318e-12,0.021158682131099865
4,0.32770575451338474,0.2949565769278151,0.4197787565749154,0.2,3.311321327598376e-15,0.020807497157819356
5,0.32797669446239397,0.29864971031564397,0.4197787565749154,0.2,0.000504828778124924,0.018947968634651587
6,0.32797669446239397,0.30064966397801524,0.4197787565749154,0.2,0.000504828778124924,0.018947968634651587
7,0.33041045016670123,0.30820269801973793,0.42403967750276195,0.2,0.00042807403580089986,0.019638707638978587
8,0.33041045016670123,0.3199090035770904,0.42403967750276195,0.2,0.00042807403580089986,0.019638707638978587
9,0.34063486531016846,0.32922093489941645,0.44139259868045566,0.2,0.0015827943257754106,0.019420675164749504
10,0.34065556279080167,0.33060466265905836,0.44139259868045566,0.2,0.0015827943252777585,0.019317187762081016
11,0.3407051979185394,0.33108906104528457,0.44139259868045566,0.2,0.0015827943252777585,0.0190690121233923
12,0.3476556650442766,0.33147005961037496,0.4541482739105829,0.2,0.002192906457908824,0.02197359005245711
13,0.3476556650442766,0.3329189738550737,0.4541482739105829,0.2,0.002192906457908824,0.02197359005245711
14,0.34816567909900203,0.3365865263512539,0.4552954652651438,0.2,0.002844319153594848,0.022213681146826446
15,0.3548006028911374,0.3426976689929048,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
16,0.3548006028911374,0.34617181984946693,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
17,0.3548006028911374,0.3483654016908158,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
18,0.3548006028911374,0.34880481274432695,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
19,0.3548006028911374,0.3492788464584003,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
20,0.3548006028911374,0.35005815183977007,0.46666666666666673,0.2,0.003917031098567907,0.02207995444574521
21,0.35576528156218734,0.35170473986445017,0.4683018867924528,0.2,0.003917031128697456,0.022162221437724686
22,0.3719399771370342,0.35370803087937613,0.4788103697854981,0.225,0.0036798572404233443,0.02305136643090022
23,0.37276823088678585,0.35543520327326067,0.48044778011481676,0.225,0.004090305965482111,0.023411879945039116
24,0.37276823088678585,0.3580497298984299,0.48044778011481676,0.225,0.004090305965482111,0.023411879945039116
25,0.3733267781449638,0.3619979671148176,0.4811391223155929,0.225,0.0034309600062294343,0.023352516215730614
26,0.3733267781449638,0.37002550889049607,0.4811391223155929,0.225,0.0034309600062294343,0.023352516215730614
27,0.3733267781449638,0.37226263883170346,0.4811391223155929,0.225,0.0034309600062294343,0.023352516215730614
28,0.3736742171032541,0.37266365241021426,0.48044778011481676,0.225,3.2024180643229964e-11,0.022972254796155903
29,0.3739021899519522,0.3730141651952848,0.48044778011481676,0.225,0.00027360227670545126,0.02155878830798394
30,0.3739021899519522,0.37317227227792915,0.48044778011481676,0.225,0.00027360227670545126,0.02155878830798394
31,0.3739458038732738,0.3733623300989958,0.48044778011481676,0.225,0.00011836782084224594,0.021495953157239324
32,0.39091177995997356,0.3741184045409626,0.4921877661712899,0.25,0.00017483747292767871,0.02182956124107421
33,0.3909256569507106,0.3753697278433856,0.4921877661712899,0.25,0.0001748374700780979,0.021760176290238947
34,0.39093236962546746,0.37615165253745186,0.4921877661712899,0.25,0.0001748374700780979,0.02172661291645445
35,0.39093236962546746,0.3782184111508707,0.4921877661712899,0.25,0.0001748374700780979,0.02172661291645445
36,0.3909334100257481,0.38293811230519303,0.4921877661712899,0.25,0.0001748374700780979,0.021721410915051326
37,0.3910238530953961,0.3907501767405236,0.4921877661712899,0.25,0.0001748374700780969,0.021269195566811318
38,0.3910238530953961,0.39084357400226005,0.4921877661712899,0.25,0.0001748374700780969,0.021269195566811318
39,0.391381798685869,0.39090853265102415,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
40,0.391381798685869,0.39093700362378414,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
41,0.391381798685869,0.39097639070338136,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
42,0.391381798685869,0.3910041318825404,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
43,0.391381798685869,0.39106203030625664,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
44,0.391381798685869,0.39111408488176036,0.49286269286269285,0.25,5.4272181290970004e-14,0.021679085158678987
45,0.39157568211606003,0.39118462891387024,0.49286269286269285,0.25,6.58123681030495e-05,0.02064385563967503
